key,number,year,journal
tcci/2019-33,33,2019,Trans. Computational Collective Intelligence
tcci/2016-25,25,2016,Trans. Computational Collective Intelligence
tcci/2013-10,10,2013,Trans. Computational Collective Intelligence
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2011-2,2,2011,Trans. Pattern Languages of Programming
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2011-2,2,2011,Trans. Pattern Languages of Programming
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2011-2,2,2011,Trans. Pattern Languages of Programming
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2009-1,1,2009,Trans. Pattern Languages of Programming
tplop/2011-2,2,2011,Trans. Pattern Languages of Programming
tplop/2011-2,2,2011,Trans. Pattern Languages of Programming
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2015-10,10,2015,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-7,7,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2017-12,12,2017,T. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2008-1,1,2008,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2010-4,4,2010,Trans. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2018-13,13,2018,T. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-2,2,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2009-3,3,2009,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2012-5,5,2012,Trans. Petri Nets and Other Models of Concurrency
topnoc/2014-9,9,2014,Trans. Petri Nets and Other Models of Concurrency
topnoc/2016-11,11,2016,T. Petri Nets and Other Models of Concurrency
topnoc/2013-8,8,2013,Trans. Petri Nets and Other Models of Concurrency
topnoc/2012-6,6,2012,Trans. Petri Nets and Other Models of Concurrency
tlsdkcs/2013-12,12,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-27,27,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-11,11,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-8,8,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-10,10,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-9,9,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2009-1,1,2009,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-6,6,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-7,7,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-29,29,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-36,36,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2009-1,1,2009,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-27,27,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-29,29,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-37,37,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2009-1,1,2009,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-6,6,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-7,7,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-19,19,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-38,38,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-8,8,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2009-1,1,2009,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-42,42,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-16,16,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-15,15,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-18,18,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-19,19,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-10,10,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-16,16,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-36,36,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-24,24,2016,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-8,8,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-42,42,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-16,16,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-10,10,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-39,39,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-36,36,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-21,21,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2011-4,4,2011,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-14,14,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-40,40,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-12,12,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2009-1,1,2009,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-9,9,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-16,16,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-19,19,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-5,5,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-30,30,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-21,21,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-42,42,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-30,30,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-40,40,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-8,8,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-28,28,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-40,40,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-39,39,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-12,12,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-14,14,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-39,39,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-25,25,2016,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2009-1,1,2009,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-25,25,2016,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-9,9,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2011-4,4,2011,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-24,24,2016,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-27,27,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-24,24,2016,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-37,37,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-15,15,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-10,10,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2009-1,1,2009,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-34,34,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-40,40,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2011-3,3,2011,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-17,17,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-25,25,2016,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-34,34,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2011-3,3,2011,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-38,38,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-28,28,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-35,35,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-34,34,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-28,28,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-6,6,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-17,17,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2014-16,16,2014,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-27,27,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-28,28,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2011-4,4,2011,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2011-3,3,2011,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-22,22,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-22,22,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-11,11,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-5,5,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-6,6,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-25,25,2016,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-31,31,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2017-35,35,2017,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-5,5,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-37,37,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-39,39,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2013-8,8,2013,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-26,26,2016,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-6,6,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-21,21,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-17,17,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2018-39,39,2018,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2011-3,3,2011,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-17,17,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2012-6,6,2012,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-20,20,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2015-17,17,2015,Trans. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2019-40,40,2019,T. Large-Scale Data- and Knowledge-Centered Systems
tlsdkcs/2016-28,28,2016,T. Large-Scale Data- and Knowledge-Centered Systems
